"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/07/2011","48-039-1004","1","0.03800","ppm","32.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/08/2011","48-039-1004","1","0.02600","ppm","22.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/09/2011","48-039-1004","1","0.02700","ppm","23.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/10/2011","48-039-1004","1","0.02700","ppm","23.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/11/2011","48-039-1004","1","0.07200","ppm","90.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/12/2011","48-039-1004","1","0.08100","ppm","114.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/13/2011","48-039-1004","1","0.06200","ppm","58.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/14/2011","48-039-1004","1","0.03700","ppm","31.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/15/2011","48-039-1004","1","0.06400","ppm","64.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/16/2011","48-039-1004","1","0.07300","ppm","93.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/17/2011","48-039-1004","1","0.07000","ppm","84.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/18/2011","48-039-1004","1","0.04000","ppm","34.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/19/2011","48-039-1004","1","0.03700","ppm","31.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/20/2011","48-039-1004","1","0.03400","ppm","29.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/21/2011","48-039-1004","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
